date,from,to,subject,slug
2019-07-15T09:00:00+00:00,ghislaine.maxwell@gmail.com,legal@maxwelldefense.com,Media strategy,maxwell-attorney-2019-media
2015-01-25T14:15:00+00:00,ghislaine.maxwell@gmail.com,jeffrey.epstein@gmail.com,Re: You have done nothing wrong,maxwell-epstein-2015-01-strategy-response
2015-01-25T10:32:00+00:00,jeffrey.epstein@gmail.com,ghislaine.maxwell@gmail.com,You have done nothing wrong,maxwell-epstein-2015-01-you-have-done-nothing-wrong
2013-11-05T14:30:00+00:00,compliance@deutschebank.com,pbrelationship@deutschebank.com,"Client risk assessment - Epstein, Jeffrey",db-compliance-2013-epstein-account
2012-06-20T11:30:00+00:00,ghislaine.maxwell@gmail.com,jeffrey.epstein@gmail.com,New staff,maxwell-epstein-2012-staffing
2011-03-14T09:20:00+00:00,ghislaine.maxwell@gmail.com,jeffrey.epstein@gmail.com,Schedule for next week,maxwell-epstein-2011-scheduling
2011-02-08T16:45:00+00:00,ghislaine.maxwell@gmail.com,jeffrey.epstein@gmail.com,Property updates,maxwell-epstein-2011-property-update
2010-04-22T11:15:00+00:00,jeffrey.epstein@gmail.com,jes.staley@jpmorgan.com,Re: Account review,epstein-staley-2010-visit
2010-04-22T09:30:00+00:00,jes.staley@jpmorgan.com,jeffrey.epstein@gmail.com,Account review,staley-epstein-2010-banking
2010-01-05T12:00:00+00:00,ghislaine.maxwell@gmail.com,socialguest@example.com,Dinner party January 15,maxwell-to-associate-2010-event
2007-08-15T16:00:00+00:00,alexander.acosta@usdoj.gov,jay.lefkowitz@kirkland.com; alan.dershowitz@harvard.edu,Proposed resolution terms,acosta-epstein-counsel-2007
2005-03-10T20:15:00+00:00,jeffrey.epstein@gmail.com,sarah.kellen@gmail.com,Tomorrow schedule,epstein-kellen-2005-schedule
2005-02-18T11:00:00+00:00,sarah.kellen@gmail.com,redacted-victim@example.com,Can you come Saturday?,victim-email-2005-appointment
2004-11-01T08:00:00+00:00,sarah.kellen@gmail.com,jeffrey.epstein@gmail.com,Appointments this week,kellen-epstein-2004-appointments
2004-09-15T16:45:00+00:00,lesley.groff@gmail.com,jeffrey.epstein@gmail.com,Re: Wire transfer,groff-epstein-2004-wire-confirm
2004-09-15T14:20:00+00:00,jeffrey.epstein@gmail.com,lesley.groff@gmail.com,Wire transfer,epstein-groff-2004-financial
2003-07-14T15:30:00+00:00,jeffrey.epstein@gmail.com,jlbrunel@mc2models.com,Re: New girls from South America,epstein-brunel-2003-response
2003-07-14T08:45:00+00:00,jlbrunel@mc2models.com,jeffrey.epstein@gmail.com,New girls from South America,brunel-epstein-2003-models
2003-05-12T10:30:00+00:00,jeffrey.epstein@gmail.com,martin.nowak@harvard.edu,Donation to evolutionary dynamics program,epstein-harvard-2003-donation
2002-03-28T10:00:00+00:00,jeffrey.epstein@gmail.com,les.wexner@lbrands.com,Quarterly review,epstein-wexner-2002-financial
2000-06-15T17:30:00+00:00,ghislaine.maxwell@gmail.com,jeffrey.epstein@gmail.com,New prospect at Mar-a-Lago,maxwell-epstein-2000-new-girl
