entity_a,entity_b,relationship_type,strength
Jeffrey Epstein,Ghislaine Maxwell,associate,421
Laura Menninger,Ghislaine Maxwell,co-mentioned,97
Bobbi Sternheim,Laura Menninger,co-mentioned,61
Ghislaine Maxwell,Damian Williams,co-mentioned,53
Jeffrey Epstein,Prince Andrew,social-associate,50
Alexander Acosta,Jeffrey Epstein,legal-action,47
Jeffrey Epstein,Donald Trump,social-associate,46
Jeffrey Epstein,Laura Menninger,co-mentioned,42
Jeffrey Epstein,Brad Edwards,co-mentioned,37
Ghislaine Maxwell,Virginia Giuffre,accused-by,36
Ghislaine Maxwell,Prince Andrew,social-associate,35
Jeffrey Epstein,Bill Clinton,social-associate,29
Bill Clinton,Ghislaine Maxwell,co-passenger,28
Jeffrey Epstein,Leon Black,financial-client,27
Ghislaine Maxwell,Sigrid McCawley,co-mentioned,26
David Boies,Ghislaine Maxwell,co-mentioned,23
Jeffrey Epstein,Alan Dershowitz,legal-counsel,23
Laura Menninger,Damian Williams,co-mentioned,22
Jeffrey Epstein,Jean-Luc Brunel,associate,20
Bill Clinton,Kevin Spacey,co-passenger,19
Bill Clinton,Chris Tucker,co-passenger,19
Ghislaine Maxwell,Kevin Spacey,co-passenger,19
Jeffrey Epstein,Sigrid McCawley,co-mentioned,18
Chris Tucker,Ghislaine Maxwell,co-passenger,18
Chris Tucker,Kevin Spacey,co-passenger,18
Jeffrey Epstein,Sarah Kellen,employee,18
Jeffrey Epstein,David Boies,co-mentioned,17
Jeffrey Epstein,Virginia Giuffre,victim-perpetrator,17
Bobbi Sternheim,Ghislaine Maxwell,co-mentioned,16
Ghislaine Maxwell,Jean-Luc Brunel,business-associate,15
Jeffrey Epstein,Denise George,co-mentioned,15
Jeffrey Epstein,Larry Visoski,employee,15
Harvey Weinstein,Jeffrey Epstein,co-mentioned,15
Ghislaine Maxwell,Sarah Kellen,co-passenger,14
Donald Trump,Ghislaine Maxwell,co-mentioned,13
Donald Trump,Prince Andrew,co-mentioned,13
Jeffrey Epstein,Geoffrey Berman,co-mentioned,13
Jeffrey Epstein,Julie K. Brown,co-mentioned,13
Harvey Weinstein,Donald Trump,co-mentioned,12
Bill Clinton,Donald Trump,co-mentioned,12
Bill Clinton,Prince Andrew,co-mentioned,12
Jeffrey Epstein,Jes Staley,financial-associate,12
